day,meal,item,weather,event,demand
Wednesday,Breakfast,Dosa,Rainy,Holiday,156
Friday,Dinner,Rice,Rainy,No,89
Wednesday,Snacks,Samosa,Cloudy,No,154
Thursday,Breakfast,Dosa,Sunny,Holiday,186
Friday,Snacks,Puff,Cold,Exam,99
Thursday,Lunch,Noodles,Cold,Sports Meet,183
Thursday,Snacks,Sandwich,Rainy,Holiday,144
Tuesday,Lunch,Noodles,Rainy,No,129
Sunday,Breakfast,Dosa,Rainy,Holiday,171
Friday,Breakfast,Idli,Rainy,Sports Meet,199
Friday,Dinner,Chapati,Cold,Festival,152
Sunday,Snacks,Puff,Rainy,Holiday,129
Wednesday,Dinner,Biryani,Cold,Exam,142
Saturday,Lunch,Chapati,Cold,Festival,211
Wednesday,Breakfast,Sandwich,Sunny,Festival,246
Friday,Dinner,Rice,Sunny,Exam,118
Saturday,Breakfast,Idli,Cold,No,104
Wednesday,Dinner,Noodles,Cold,No,121
Monday,Breakfast,Sandwich,Rainy,Festival,207
Friday,Breakfast,Sandwich,Cloudy,Holiday,172
Wednesday,Lunch,Chapati,Sunny,Festival,206
Thursday,Snacks,Samosa,Sunny,Festival,291
Saturday,Dinner,Noodles,Sunny,Sports Meet,274
Thursday,Snacks,Puff,Rainy,Holiday,119
Tuesday,Breakfast,Dosa,Rainy,Festival,218
Thursday,Lunch,Biryani,Cloudy,Exam,137
Monday,Snacks,Noodles,Sunny,Sports Meet,191
Monday,Snacks,Noodles,Cloudy,No,124
Sunday,Lunch,Rice,Rainy,Holiday,152
Tuesday,Dinner,Rice,Sunny,Sports Meet,206
Monday,Dinner,Noodles,Cloudy,Festival,205
Thursday,Snacks,Puff,Cloudy,No,124
Tuesday,Dinner,Chapati,Rainy,Holiday,40
Tuesday,Snacks,Samosa,Cloudy,Exam,130
Thursday,Dinner,Noodles,Rainy,Holiday,51
Friday,Lunch,Rice,Cloudy,Exam,119
Tuesday,Lunch,Chapati,Cloudy,Festival,170
Friday,Breakfast,Idli,Cloudy,Exam,80
Tuesday,Snacks,Sandwich,Sunny,Festival,225
Monday,Lunch,Chapati,Cloudy,Exam,76
Sunday,Dinner,Noodles,Cold,Exam,95
Wednesday,Breakfast,Idli,Cold,Sports Meet,164
Tuesday,Dinner,Noodles,Rainy,Exam,67
Wednesday,Dinner,Biryani,Cloudy,Festival,197
Saturday,Lunch,Rice,Cloudy,No,149
Friday,Dinner,Chapati,Cloudy,Holiday,71
Monday,Breakfast,Sandwich,Cold,Festival,152
Sunday,Snacks,Puff,Cloudy,No,92
Sunday,Lunch,Rice,Rainy,Holiday,146
Friday,Dinner,Rice,Cloudy,No,139
Thursday,Breakfast,Idli,Sunny,Festival,200
Sunday,Dinner,Chapati,Rainy,No,123
Thursday,Lunch,Noodles,Cold,Sports Meet,194
Friday,Lunch,Rice,Sunny,No,133
Monday,Lunch,Chapati,Sunny,Festival,183
Sunday,Lunch,Noodles,Rainy,No,125
Monday,Lunch,Biryani,Cloudy,Holiday,210
Saturday,Dinner,Chapati,Cloudy,No,151
Wednesday,Lunch,Chapati,Cold,Exam,82
Tuesday,Snacks,Puff,Sunny,No,136
Monday,Lunch,Noodles,Cloudy,Holiday,145
Sunday,Lunch,Rice,Cold,Exam,61
Tuesday,Dinner,Biryani,Cloudy,Festival,256
Tuesday,Dinner,Rice,Cold,Exam,69
Tuesday,Dinner,Rice,Cloudy,Sports Meet,178
Tuesday,Snacks,Samosa,Cold,No,210
Wednesday,Snacks,Puff,Cloudy,No,109
Sunday,Snacks,Puff,Sunny,No,128
Sunday,Dinner,Biryani,Sunny,Sports Meet,296
Monday,Snacks,Samosa,Sunny,No,198
Monday,Dinner,Rice,Cold,Exam,88
Tuesday,Dinner,Rice,Rainy,Exam,64
Sunday,Snacks,Puff,Sunny,Festival,166
Sunday,Snacks,Puff,Rainy,Exam,140
Wednesday,Snacks,Sandwich,Cloudy,Exam,74
Tuesday,Lunch,Chapati,Sunny,No,115
Thursday,Snacks,Samosa,Cold,Sports Meet,304
Monday,Breakfast,Sandwich,Rainy,Exam,64
Friday,Breakfast,Idli,Sunny,Sports Meet,178
Monday,Dinner,Chapati,Rainy,Sports Meet,159
Tuesday,Dinner,Rice,Sunny,Festival,190
Wednesday,Lunch,Chapati,Sunny,Sports Meet,172
Monday,Breakfast,Dosa,Cold,Exam,66
Tuesday,Lunch,Chapati,Sunny,Exam,69
Wednesday,Snacks,Samosa,Rainy,Holiday,191
Wednesday,Breakfast,Sandwich,Cloudy,Holiday,135
Friday,Dinner,Rice,Cold,Exam,78
Tuesday,Snacks,Sandwich,Cloudy,Festival,198
Sunday,Dinner,Rice,Cloudy,Holiday,136
Monday,Dinner,Rice,Cloudy,No,124
Sunday,Breakfast,Dosa,Sunny,Exam,114
Tuesday,Dinner,Chapati,Rainy,Festival,133
Saturday,Lunch,Chapati,Sunny,Holiday,181
Wednesday,Dinner,Biryani,Sunny,Exam,114
Saturday,Dinner,Noodles,Cold,Festival,238
Sunday,Dinner,Biryani,Cold,Sports Meet,294
Friday,Snacks,Noodles,Sunny,Festival,162
Friday,Breakfast,Sandwich,Cold,Festival,156
Thursday,Breakfast,Idli,Rainy,Exam,56
Thursday,Dinner,Rice,Cloudy,Holiday,66
Thursday,Breakfast,Sandwich,Cloudy,Exam,97
Saturday,Snacks,Samosa,Cloudy,Sports Meet,227
Friday,Lunch,Noodles,Sunny,No,163
Tuesday,Breakfast,Sandwich,Sunny,Festival,202
Sunday,Breakfast,Idli,Cold,Exam,69
Saturday,Dinner,Rice,Cloudy,Exam,159
Thursday,Dinner,Noodles,Cold,No,116
Saturday,Breakfast,Idli,Cloudy,No,146
Monday,Snacks,Puff,Cold,No,153
Thursday,Dinner,Noodles,Rainy,Exam,84
Wednesday,Breakfast,Idli,Rainy,Exam,83
Thursday,Breakfast,Sandwich,Cold,Festival,208
Saturday,Snacks,Noodles,Sunny,No,146
Monday,Lunch,Biryani,Cloudy,Exam,197
Tuesday,Dinner,Rice,Cloudy,Sports Meet,228
Saturday,Snacks,Sandwich,Cold,Exam,125
Sunday,Snacks,Sandwich,Cold,Holiday,110
Wednesday,Snacks,Puff,Cloudy,Festival,184
Wednesday,Snacks,Noodles,Rainy,Festival,235
Monday,Snacks,Noodles,Rainy,Festival,237
Friday,Breakfast,Dosa,Cold,No,76
Monday,Dinner,Noodles,Cold,No,122
Friday,Snacks,Samosa,Sunny,Festival,270
Sunday,Dinner,Chapati,Cloudy,No,119
Tuesday,Dinner,Noodles,Rainy,Festival,205
Thursday,Dinner,Chapati,Rainy,Exam,97
Monday,Breakfast,Sandwich,Cloudy,Exam,68
Saturday,Dinner,Rice,Sunny,Festival,233
Friday,Snacks,Noodles,Sunny,Holiday,122
Wednesday,Dinner,Biryani,Cloudy,Holiday,142
Sunday,Dinner,Chapati,Rainy,Sports Meet,221
Saturday,Dinner,Biryani,Cloudy,No,199
Tuesday,Snacks,Noodles,Cold,Festival,205
Thursday,Breakfast,Sandwich,Cloudy,Sports Meet,216
Monday,Lunch,Biryani,Rainy,Holiday,185
Thursday,Snacks,Sandwich,Cloudy,Exam,114
Saturday,Dinner,Chapati,Cold,Exam,100
Tuesday,Snacks,Noodles,Cloudy,Holiday,79
Sunday,Breakfast,Idli,Sunny,Holiday,185
Friday,Dinner,Chapati,Sunny,Holiday,83
Wednesday,Dinner,Noodles,Cloudy,Festival,196
Thursday,Breakfast,Idli,Rainy,No,111
Friday,Snacks,Sandwich,Sunny,Exam,101
Thursday,Snacks,Noodles,Cold,Festival,232
Sunday,Dinner,Biryani,Cloudy,Festival,335
Wednesday,Dinner,Biryani,Rainy,No,140
Sunday,Lunch,Noodles,Sunny,Holiday,226
Monday,Breakfast,Dosa,Rainy,Exam,70
Monday,Lunch,Rice,Sunny,Sports Meet,224
Monday,Dinner,Rice,Cloudy,Exam,72
Saturday,Breakfast,Dosa,Rainy,Sports Meet,209
Friday,Breakfast,Sandwich,Rainy,Sports Meet,156
Sunday,Lunch,Chapati,Cloudy,Festival,185
Wednesday,Dinner,Chapati,Cold,Holiday,70
Monday,Dinner,Biryani,Rainy,Sports Meet,235
Saturday,Snacks,Puff,Rainy,Exam,118
Saturday,Dinner,Noodles,Rainy,Sports Meet,203
Thursday,Snacks,Noodles,Cloudy,Exam,102
Sunday,Breakfast,Sandwich,Cloudy,Holiday,147
Monday,Breakfast,Dosa,Cold,Sports Meet,159
Thursday,Snacks,Puff,Sunny,Sports Meet,186
Sunday,Dinner,Rice,Rainy,Sports Meet,215
Tuesday,Dinner,Rice,Cold,Festival,183
Tuesday,Dinner,Noodles,Rainy,Festival,198
Saturday,Breakfast,Dosa,Cold,Exam,45
Saturday,Snacks,Noodles,Rainy,Sports Meet,242
Monday,Dinner,Chapati,Cold,Festival,132
Saturday,Dinner,Noodles,Rainy,Exam,135
Thursday,Dinner,Biryani,Sunny,Sports Meet,245
Friday,Dinner,Rice,Cold,Festival,194
Friday,Dinner,Rice,Rainy,Exam,57
Monday,Breakfast,Dosa,Cloudy,Sports Meet,157
Thursday,Breakfast,Idli,Cold,No,82
Wednesday,Dinner,Chapati,Sunny,Holiday,103
Sunday,Lunch,Rice,Cloudy,Sports Meet,223
Saturday,Snacks,Puff,Sunny,Holiday,92
Tuesday,Lunch,Noodles,Sunny,Holiday,151
Friday,Snacks,Sandwich,Cloudy,Exam,106
Friday,Dinner,Rice,Cold,Exam,42
Thursday,Lunch,Noodles,Cloudy,Holiday,146
Thursday,Dinner,Rice,Sunny,Holiday,107
Tuesday,Dinner,Noodles,Rainy,Exam,80
Tuesday,Breakfast,Dosa,Cold,Festival,212
Saturday,Dinner,Chapati,Rainy,Festival,221
Sunday,Dinner,Noodles,Rainy,Holiday,136
Sunday,Breakfast,Idli,Cold,Festival,190
Sunday,Dinner,Biryani,Sunny,No,239
Friday,Breakfast,Sandwich,Sunny,Holiday,166
Monday,Lunch,Rice,Sunny,Festival,220
Monday,Breakfast,Dosa,Cloudy,Exam,105
Thursday,Breakfast,Dosa,Cold,Exam,79
Wednesday,Lunch,Noodles,Rainy,Festival,163
Wednesday,Lunch,Rice,Sunny,Sports Meet,237
Friday,Lunch,Biryani,Cold,No,197
Monday,Lunch,Rice,Rainy,Exam,118
Monday,Breakfast,Dosa,Sunny,Sports Meet,234
Sunday,Snacks,Noodles,Cloudy,Holiday,113
Saturday,Lunch,Rice,Rainy,Holiday,170
Monday,Lunch,Noodles,Cloudy,Festival,238
Saturday,Snacks,Sandwich,Cloudy,Holiday,108
Thursday,Snacks,Sandwich,Cloudy,No,142
Friday,Breakfast,Dosa,Cloudy,Holiday,153
Saturday,Breakfast,Idli,Cold,No,88
Sunday,Breakfast,Dosa,Sunny,Festival,200
Sunday,Snacks,Noodles,Cloudy,Exam,129
Friday,Lunch,Noodles,Rainy,Exam,58
Wednesday,Snacks,Sandwich,Rainy,Festival,259
Sunday,Snacks,Noodles,Sunny,Exam,122
Saturday,Dinner,Biryani,Sunny,Exam,214
Wednesday,Lunch,Rice,Cold,Sports Meet,222
Monday,Breakfast,Sandwich,Cloudy,Sports Meet,219
Wednesday,Snacks,Samosa,Cold,Festival,264
Friday,Breakfast,Idli,Cloudy,No,148
Saturday,Breakfast,Sandwich,Cloudy,Holiday,145
Friday,Lunch,Chapati,Cloudy,No,107
Tuesday,Lunch,Rice,Rainy,Exam,70
Sunday,Breakfast,Dosa,Cloudy,Festival,237
Wednesday,Snacks,Noodles,Sunny,Exam,79
Sunday,Dinner,Chapati,Sunny,No,169
Thursday,Breakfast,Dosa,Rainy,Exam,67
Tuesday,Breakfast,Dosa,Cold,Holiday,157
Monday,Snacks,Sandwich,Cloudy,Exam,99
Sunday,Breakfast,Dosa,Cloudy,Sports Meet,188
Friday,Dinner,Chapati,Sunny,Holiday,75
Saturday,Snacks,Samosa,Cloudy,No,169
Saturday,Lunch,Rice,Cloudy,Sports Meet,222
Wednesday,Lunch,Chapati,Cold,Festival,121
Wednesday,Lunch,Chapati,Sunny,Holiday,164
Saturday,Dinner,Biryani,Cold,Sports Meet,243
Friday,Lunch,Noodles,Rainy,Exam,93
Thursday,Breakfast,Sandwich,Cloudy,Sports Meet,233
Tuesday,Snacks,Samosa,Cloudy,Festival,284
Sunday,Dinner,Chapati,Cloudy,No,126
Thursday,Lunch,Noodles,Sunny,Festival,241
Monday,Dinner,Noodles,Sunny,Sports Meet,221
Saturday,Breakfast,Dosa,Sunny,Sports Meet,213
Monday,Snacks,Samosa,Rainy,Sports Meet,287
Friday,Lunch,Rice,Cloudy,No,136
Wednesday,Breakfast,Dosa,Rainy,Holiday,181
Sunday,Dinner,Chapati,Cold,Exam,77
Saturday,Snacks,Sandwich,Rainy,Festival,272
Thursday,Dinner,Biryani,Cloudy,Holiday,132
Thursday,Lunch,Biryani,Cold,Exam,160
Saturday,Snacks,Sandwich,Rainy,No,194
Wednesday,Dinner,Noodles,Cloudy,Holiday,110
Thursday,Dinner,Biryani,Rainy,No,183
Friday,Snacks,Samosa,Cold,Exam,180
Wednesday,Snacks,Noodles,Sunny,No,146
Monday,Dinner,Noodles,Cold,Sports Meet,136
Sunday,Breakfast,Sandwich,Rainy,Festival,171
Monday,Snacks,Puff,Sunny,Festival,191
Monday,Breakfast,Dosa,Sunny,Holiday,142
Monday,Lunch,Noodles,Cold,Holiday,174
Tuesday,Lunch,Chapati,Cloudy,Festival,184
Saturday,Breakfast,Idli,Sunny,Exam,118
Saturday,Lunch,Chapati,Rainy,Festival,182
Sunday,Breakfast,Sandwich,Rainy,No,110
Friday,Dinner,Chapati,Rainy,Festival,161
Monday,Dinner,Noodles,Cloudy,Exam,123
Saturday,Lunch,Biryani,Rainy,Festival,247
Wednesday,Snacks,Sandwich,Sunny,No,132
Tuesday,Lunch,Chapati,Cold,Festival,182
Wednesday,Breakfast,Idli,Cloudy,No,101
Thursday,Snacks,Sandwich,Cloudy,Exam,74
Sunday,Lunch,Biryani,Sunny,Exam,158
Wednesday,Dinner,Biryani,Cold,Festival,291
Saturday,Breakfast,Dosa,Cloudy,Exam,70
Thursday,Snacks,Puff,Cold,Sports Meet,217
Thursday,Dinner,Noodles,Rainy,Holiday,72
Monday,Breakfast,Idli,Rainy,No,113
Friday,Snacks,Puff,Cold,Sports Meet,172
Sunday,Lunch,Rice,Rainy,Festival,225
Tuesday,Breakfast,Sandwich,Cold,Exam,92
Thursday,Breakfast,Sandwich,Cold,Sports Meet,195
Thursday,Snacks,Sandwich,Rainy,Sports Meet,226
Sunday,Snacks,Sandwich,Cold,Sports Meet,245
Saturday,Dinner,Rice,Cold,Festival,245
Saturday,Dinner,Biryani,Sunny,Holiday,188
Thursday,Snacks,Puff,Sunny,Holiday,95
Sunday,Snacks,Noodles,Sunny,Holiday,90
Thursday,Breakfast,Sandwich,Rainy,Holiday,148
Sunday,Breakfast,Sandwich,Sunny,Sports Meet,214
Saturday,Lunch,Biryani,Cold,No,214
Sunday,Dinner,Chapati,Rainy,Sports Meet,195
Thursday,Snacks,Sandwich,Sunny,Festival,235
Saturday,Snacks,Puff,Cloudy,Festival,205
Thursday,Breakfast,Idli,Sunny,Holiday,187
Thursday,Breakfast,Idli,Sunny,Holiday,211
Friday,Snacks,Sandwich,Sunny,No,126
Thursday,Breakfast,Idli,Rainy,Holiday,140
Thursday,Lunch,Biryani,Cloudy,Festival,221
Thursday,Dinner,Chapati,Sunny,Festival,152
Thursday,Dinner,Biryani,Sunny,Holiday,184
Friday,Lunch,Rice,Cloudy,Sports Meet,222
Friday,Breakfast,Sandwich,Cloudy,No,149
Tuesday,Snacks,Samosa,Rainy,No,186
Tuesday,Dinner,Rice,Rainy,Festival,193
Monday,Dinner,Chapati,Cloudy,Sports Meet,134
Wednesday,Breakfast,Idli,Cloudy,Festival,186
Sunday,Lunch,Rice,Rainy,Holiday,169
Monday,Snacks,Samosa,Cloudy,No,195
Monday,Breakfast,Dosa,Rainy,No,108
Saturday,Snacks,Sandwich,Cold,No,156
Wednesday,Lunch,Chapati,Cold,Exam,17
Saturday,Dinner,Noodles,Sunny,Sports Meet,253
Tuesday,Lunch,Rice,Cloudy,Exam,129
Monday,Breakfast,Idli,Sunny,Sports Meet,214
Tuesday,Snacks,Noodles,Sunny,Holiday,98
Friday,Lunch,Rice,Rainy,Exam,73
Friday,Lunch,Biryani,Cold,Exam,117
Tuesday,Lunch,Noodles,Cloudy,Exam,75
Monday,Breakfast,Idli,Sunny,Exam,142
Friday,Snacks,Puff,Cold,Holiday,149
Friday,Snacks,Samosa,Rainy,Holiday,192
Sunday,Lunch,Rice,Rainy,Festival,212
Friday,Lunch,Chapati,Rainy,Holiday,105
Saturday,Breakfast,Sandwich,Rainy,Holiday,162
Friday,Dinner,Biryani,Sunny,Festival,258
Sunday,Snacks,Puff,Sunny,Sports Meet,185
Sunday,Lunch,Noodles,Cold,Festival,191
Saturday,Lunch,Noodles,Cold,No,144
Tuesday,Dinner,Noodles,Sunny,No,155
Friday,Breakfast,Sandwich,Cloudy,Sports Meet,221
Saturday,Breakfast,Dosa,Rainy,Holiday,177
Friday,Snacks,Noodles,Cold,No,189
Friday,Snacks,Puff,Cold,No,141
Thursday,Snacks,Puff,Cloudy,Holiday,62
Thursday,Dinner,Chapati,Cloudy,Holiday,80
Monday,Lunch,Chapati,Cloudy,Holiday,127
Saturday,Breakfast,Idli,Sunny,Sports Meet,256
Monday,Snacks,Noodles,Rainy,Festival,228
Monday,Dinner,Biryani,Cold,Exam,102
Saturday,Snacks,Sandwich,Sunny,Festival,192
Thursday,Lunch,Biryani,Sunny,Holiday,271
Monday,Lunch,Rice,Cold,Exam,54
Wednesday,Dinner,Rice,Cold,Festival,171
Wednesday,Lunch,Rice,Rainy,Exam,64
Monday,Dinner,Chapati,Cloudy,Sports Meet,181
Tuesday,Snacks,Noodles,Sunny,Exam,74
Friday,Dinner,Noodles,Cold,No,114
Friday,Lunch,Biryani,Sunny,Festival,233
Friday,Breakfast,Idli,Sunny,No,167
Wednesday,Lunch,Rice,Rainy,Holiday,144
Saturday,Dinner,Rice,Cold,Holiday,101
Sunday,Snacks,Samosa,Sunny,Festival,238
Saturday,Lunch,Noodles,Sunny,No,164
Sunday,Dinner,Biryani,Sunny,No,252
Monday,Snacks,Sandwich,Sunny,No,101
Saturday,Snacks,Puff,Cloudy,Exam,63
Sunday,Lunch,Noodles,Rainy,Exam,81
Monday,Breakfast,Dosa,Sunny,Sports Meet,214
Sunday,Breakfast,Dosa,Cloudy,Exam,71
Saturday,Dinner,Biryani,Cold,Holiday,140
Saturday,Lunch,Biryani,Cold,Sports Meet,256
Saturday,Snacks,Puff,Cold,Exam,115
Wednesday,Breakfast,Idli,Cold,Festival,184
Saturday,Breakfast,Sandwich,Cold,No,83
Wednesday,Breakfast,Idli,Cloudy,Festival,186
Saturday,Snacks,Samosa,Sunny,Exam,158
Monday,Breakfast,Dosa,Cold,Festival,203
Tuesday,Dinner,Noodles,Sunny,Holiday,108
Thursday,Dinner,Rice,Rainy,Holiday,74
Thursday,Breakfast,Dosa,Rainy,Holiday,134
Sunday,Snacks,Puff,Cloudy,Exam,87
Sunday,Lunch,Noodles,Cold,Holiday,131
Saturday,Breakfast,Dosa,Cloudy,Sports Meet,173
Thursday,Lunch,Biryani,Rainy,Holiday,166
Wednesday,Dinner,Rice,Cold,Sports Meet,151
Monday,Snacks,Sandwich,Cold,Exam,159
Saturday,Snacks,Puff,Cloudy,Holiday,52
Wednesday,Snacks,Sandwich,Cold,No,158
Saturday,Breakfast,Idli,Cold,Sports Meet,169
Tuesday,Dinner,Noodles,Sunny,Exam,91
Saturday,Breakfast,Sandwich,Sunny,Sports Meet,191
Wednesday,Lunch,Biryani,Sunny,No,193
Saturday,Dinner,Rice,Sunny,Holiday,183
Tuesday,Snacks,Sandwich,Rainy,Holiday,129
Tuesday,Dinner,Chapati,Rainy,Exam,60
Saturday,Snacks,Puff,Sunny,Holiday,87
Monday,Snacks,Puff,Cold,Sports Meet,254
Wednesday,Lunch,Rice,Sunny,No,124
Wednesday,Snacks,Puff,Cloudy,Festival,200
Monday,Breakfast,Dosa,Rainy,Sports Meet,163
Wednesday,Breakfast,Dosa,Cloudy,No,111
Monday,Breakfast,Dosa,Rainy,No,97
Sunday,Snacks,Noodles,Sunny,Sports Meet,204
Saturday,Snacks,Puff,Cold,No,164
Monday,Breakfast,Sandwich,Sunny,Exam,97
Saturday,Snacks,Noodles,Cloudy,Exam,77
Monday,Dinner,Biryani,Cloudy,Holiday,109
Friday,Snacks,Sandwich,Sunny,Festival,228
Friday,Dinner,Chapati,Sunny,Exam,120
Monday,Breakfast,Sandwich,Rainy,Holiday,147
Tuesday,Snacks,Puff,Sunny,Sports Meet,175
Thursday,Lunch,Noodles,Cold,Exam,102
Sunday,Lunch,Chapati,Rainy,Sports Meet,190
Wednesday,Breakfast,Idli,Sunny,Holiday,181
Monday,Snacks,Noodles,Sunny,Exam,70
Sunday,Lunch,Biryani,Cold,Festival,274
Sunday,Dinner,Rice,Cloudy,Exam,105
Tuesday,Lunch,Chapati,Cold,Sports Meet,163
Thursday,Snacks,Puff,Cold,No,128
Wednesday,Dinner,Rice,Cold,Festival,193
Saturday,Snacks,Sandwich,Cold,Festival,207
Wednesday,Breakfast,Sandwich,Cloudy,Festival,175
Friday,Snacks,Puff,Sunny,No,77
Tuesday,Breakfast,Idli,Cloudy,Festival,226
Sunday,Lunch,Chapati,Sunny,Festival,248
Tuesday,Breakfast,Idli,Sunny,Festival,175
Sunday,Lunch,Biryani,Cold,Sports Meet,221
Saturday,Breakfast,Sandwich,Rainy,Holiday,150
Wednesday,Lunch,Noodles,Cold,Exam,81
Tuesday,Lunch,Biryani,Rainy,Exam,99
Friday,Lunch,Chapati,Sunny,Holiday,168
Sunday,Lunch,Rice,Rainy,No,147
Thursday,Dinner,Rice,Cold,Holiday,64
Thursday,Breakfast,Dosa,Rainy,Holiday,151
Saturday,Snacks,Samosa,Cold,Festival,322
Sunday,Dinner,Rice,Sunny,Exam,113
Friday,Breakfast,Dosa,Cold,Holiday,133
Sunday,Dinner,Noodles,Rainy,No,119
Saturday,Snacks,Sandwich,Cloudy,No,101
Monday,Dinner,Biryani,Cold,No,158
Thursday,Snacks,Sandwich,Sunny,Holiday,74
Wednesday,Snacks,Noodles,Cold,Exam,146
Wednesday,Dinner,Noodles,Sunny,Sports Meet,198
Friday,Snacks,Puff,Cloudy,Sports Meet,168
Thursday,Dinner,Rice,Sunny,No,125
Thursday,Lunch,Chapati,Sunny,No,131
Saturday,Lunch,Biryani,Rainy,Exam,117
Friday,Lunch,Rice,Cloudy,No,109
Wednesday,Breakfast,Sandwich,Cloudy,Exam,100
Tuesday,Lunch,Chapati,Sunny,Sports Meet,190
Saturday,Dinner,Noodles,Rainy,Sports Meet,191
Friday,Breakfast,Idli,Rainy,Holiday,165
Friday,Breakfast,Dosa,Rainy,Sports Meet,214
Tuesday,Dinner,Noodles,Cloudy,Festival,166
Saturday,Lunch,Chapati,Cold,Sports Meet,202
Friday,Snacks,Sandwich,Sunny,Exam,96
Tuesday,Dinner,Biryani,Cloudy,Exam,151
Sunday,Snacks,Noodles,Sunny,Festival,197
Saturday,Lunch,Chapati,Sunny,Exam,109
Tuesday,Snacks,Sandwich,Cloudy,Exam,115
Wednesday,Lunch,Noodles,Rainy,Holiday,154
Wednesday,Breakfast,Sandwich,Cold,Festival,176
Monday,Dinner,Biryani,Cold,Holiday,119
Monday,Dinner,Noodles,Cold,Exam,75
Saturday,Dinner,Biryani,Cloudy,Holiday,193
Friday,Snacks,Puff,Sunny,Festival,203
Saturday,Breakfast,Dosa,Sunny,Holiday,178
Monday,Lunch,Chapati,Rainy,Festival,150
Monday,Breakfast,Idli,Cloudy,Exam,85
Saturday,Lunch,Rice,Rainy,Exam,92
Thursday,Lunch,Chapati,Cloudy,Sports Meet,166
Tuesday,Snacks,Noodles,Cloudy,Festival,179
Thursday,Snacks,Samosa,Rainy,Festival,313
Friday,Lunch,Chapati,Sunny,Festival,195
Wednesday,Snacks,Puff,Cold,Sports Meet,229
Sunday,Lunch,Biryani,Cloudy,Holiday,246
Wednesday,Dinner,Biryani,Cold,Festival,262
Wednesday,Lunch,Rice,Sunny,Festival,237
Thursday,Breakfast,Dosa,Sunny,Exam,86
Thursday,Lunch,Chapati,Sunny,No,103
Thursday,Breakfast,Sandwich,Cold,Holiday,134
Tuesday,Dinner,Chapati,Cloudy,Festival,200
Monday,Breakfast,Dosa,Sunny,Exam,114
Friday,Dinner,Biryani,Cold,No,141
Saturday,Breakfast,Sandwich,Rainy,Sports Meet,187
Thursday,Dinner,Biryani,Cloudy,Festival,293
Sunday,Dinner,Biryani,Cold,Sports Meet,249
Tuesday,Lunch,Chapati,Rainy,Sports Meet,172
Friday,Snacks,Samosa,Cloudy,Holiday,163
Sunday,Dinner,Biryani,Rainy,Holiday,134
Friday,Dinner,Biryani,Cold,Festival,221
Tuesday,Snacks,Noodles,Rainy,Sports Meet,212
Thursday,Snacks,Samosa,Sunny,Sports Meet,237
Sunday,Dinner,Noodles,Cloudy,No,172
Wednesday,Dinner,Chapati,Cold,Exam,69
Wednesday,Dinner,Chapati,Sunny,Festival,154
Saturday,Dinner,Noodles,Cloudy,Festival,255
Friday,Lunch,Chapati,Cold,Holiday,115
Friday,Dinner,Biryani,Sunny,No,162
Sunday,Breakfast,Dosa,Sunny,No,146
Saturday,Dinner,Rice,Sunny,Exam,141
Sunday,Lunch,Noodles,Rainy,Holiday,190
Wednesday,Breakfast,Sandwich,Cloudy,Festival,199
Friday,Snacks,Noodles,Cold,Exam,110
Saturday,Breakfast,Sandwich,Cloudy,Holiday,152
Tuesday,Dinner,Biryani,Rainy,Festival,241
Wednesday,Lunch,Rice,Cloudy,Holiday,161
Tuesday,Breakfast,Idli,Rainy,Exam,52
Wednesday,Snacks,Puff,Cold,Holiday,114
Friday,Breakfast,Dosa,Cloudy,Holiday,135
Saturday,Snacks,Sandwich,Rainy,No,146
Saturday,Snacks,Noodles,Cold,Exam,126
Thursday,Lunch,Noodles,Cold,Holiday,123
Sunday,Snacks,Sandwich,Sunny,Sports Meet,207
Monday,Lunch,Rice,Sunny,Sports Meet,216
Saturday,Lunch,Noodles,Cold,Sports Meet,217
Thursday,Dinner,Chapati,Rainy,Exam,65
Wednesday,Breakfast,Dosa,Cloudy,Holiday,168
Friday,Lunch,Chapati,Sunny,No,135
Friday,Breakfast,Sandwich,Cold,No,109
Tuesday,Breakfast,Dosa,Rainy,Sports Meet,201
Saturday,Snacks,Puff,Cloudy,Festival,136
Friday,Lunch,Noodles,Rainy,Festival,197
Saturday,Snacks,Sandwich,Rainy,No,150
Saturday,Snacks,Samosa,Cloudy,Festival,226
Sunday,Breakfast,Dosa,Cold,Sports Meet,140
Sunday,Breakfast,Idli,Rainy,Holiday,188
Monday,Lunch,Rice,Cloudy,Exam,121
Wednesday,Breakfast,Sandwich,Cloudy,Exam,72
Thursday,Dinner,Biryani,Cold,Exam,170
Monday,Dinner,Rice,Rainy,Exam,70
Wednesday,Lunch,Chapati,Sunny,Sports Meet,212
Tuesday,Dinner,Biryani,Cold,Exam,94
Wednesday,Dinner,Chapati,Cloudy,Festival,180
Monday,Breakfast,Dosa,Rainy,Festival,191
Thursday,Breakfast,Sandwich,Cloudy,Sports Meet,207
Wednesday,Breakfast,Idli,Cloudy,No,138
Wednesday,Dinner,Biryani,Cloudy,No,185
Monday,Lunch,Chapati,Cold,No,70
Monday,Lunch,Rice,Cold,Sports Meet,195
Tuesday,Breakfast,Dosa,Cold,Holiday,160
Thursday,Lunch,Biryani,Cold,Exam,109
Sunday,Snacks,Samosa,Cold,Exam,160
Tuesday,Snacks,Samosa,Sunny,Holiday,150
Tuesday,Snacks,Puff,Cloudy,Sports Meet,182
